,title,company,salary,location,hiringStatus,postedDate
174,Software Engineer IV,Paychex,$110K - $141K,"Rochester, NY",Actively Hiring,2023-01-09
175,Automation Engineer,Landus Cooperative,$66K - $95K,"Des Moines, IA",Actively Hiring,2023-01-09
176,Software Engineer,CHG Healthcare,$96K - $129K,"Salt Lake City, UT",Actively Hiring,2023-01-23
177,Senior Software Development Engineer,The Morey Corporation,$40.00 - $50.66 Per Hour(Employer est.),"Woodridge, IL",Actively Hiring,2023-01-09
178,Embedded Software Engineer,RDM Industrial Electronics,$60K - $85K,"Nebo, NC",Actively Hiring,2023-01-09
179,Automation Software Developer,"Engineering Specialists, Inc.",$100K - $134K,"Milwaukee, WI",Actively Hiring,2023-01-09
180,Senior Engineer II Software/Mobility Domain,ST Engineering iDirect,$120K,"Herndon, VA",Actively Hiring,2023-01-09
181,Embedded Software Engineer,First Consulting Inc.,$47K - $68K,"Rochester, NY",Actively Hiring,2023-01-09
182,Robotics Engineer AI/ ML/ VR,"BCI Solutions, Inc.",$80K - $100K,"Bremen, IN",Actively Hiring,2023-01-16
183,ISM (Intelligent Site Management) Software Engineer,Westell Technologies,$80K - $120K,"Dublin, OH",Actively Hiring,2023-01-20
184,Software Engineer III,Paychex,$63K - $97K,"Rochester, NY",Actively Hiring,2023-01-09
185,"Cyber Security Software Engineer - Moorestown, NJ",In-Depth Engineering Corporation,$80K - $180K,"Mount Laurel, NJ",Actively Hiring,2023-01-09
186,"Modeling and Simulation Software Engineer - Syracuse, NY",In-Depth Engineering Corporation,$100K,"Syracuse, NY",Actively Hiring,2023-01-09
187,Sr. Embedded Software Engineer,Kitchen Brains,$66K - $95K,"Stratford, CT",Actively Hiring,2023-01-09
188,Mid-Level Software Engineer,"Usio, Inc.",$66K - $97K,"San Antonio, TX",Actively Hiring,2023-01-09
189,Metrology Solutions Software Engineer,Mitutoyo America Corporation,$80K - $120K,"Mason, OH",Actively Hiring,2023-01-26
190,Software Developer - Product,McLeod Software,$91K - $124K,"Birmingham, AL",Actively Hiring,2023-01-09
191,Sr. Software Engineer,"Candid Color Systems, Inc.",$87K - $123K,"Oklahoma City, OK",Actively Hiring,2023-01-31
192,Senior Firmware Engineer,OTTO Engineering,$102K - $140K,"Carpentersville, IL",Actively Hiring,2023-01-09
193,Senior Software Engineer (ACIST),CRL Technologies,$65K - $89K,"Lexington Park, MD",Actively Hiring,2023-01-09
194,Sr. Genesys Engage Engineer,"Placed, LLC",$75K - $100K,"Denver, CO",Actively Hiring,2023-01-09
195,"Software Engineer I, II, III, or Senior",Alaska USA Federal Credit Union,$80K - $138K,"Renton, WA",Actively Hiring,2023-01-11
196,EO/IR Engineer/Scientist,Resonant Sciences LLC,$72K - $137K,"Beavercreek, OH",Actively Hiring,2023-01-09
